frame	time	task	case
case_000_video_part_001/00000000.png	0.0	7	case_000
case_000_video_part_001/00000060.png	1.0	7	case_000
case_000_video_part_001/00000120.png	2.0	7	case_000
case_000_video_part_001/00000180.png	3.0	7	case_000
case_000_video_part_001/00000240.png	4.0	7	case_000
case_000_video_part_001/00000300.png	5.0	7	case_000
case_000_video_part_001/00000360.png	6.0	7	case_000
case_000_video_part_001/00000420.png	7.0	7	case_000
case_000_video_part_001/00000480.png	8.0	7	case_000
case_000_video_part_001/00000540.png	9.0	7	case_000
case_000_video_part_001/00000600.png	10.0	7	case_000
case_000_video_part_001/00000660.png	11.0	7	case_000
case_000_video_part_001/00000720.png	12.0	7	case_000
case_000_video_part_001/00000780.png	13.0	7	case_000
case_000_video_part_001/00000840.png	14.0	7	case_000
case_000_video_part_001/00000900.png	15.0	7	case_000
case_000_video_part_001/00000960.png	16.0	7	case_000
case_000_video_part_001/00001020.png	17.0	7	case_000
case_000_video_part_001/00001080.png	18.0	7	case_000
case_000_video_part_001/00001140.png	19.0	7	case_000
case_000_video_part_001/00001200.png	20.0	7	case_000
case_000_video_part_001/00001260.png	21.0	7	case_000
case_000_video_part_001/00001320.png	22.0	7	case_000
case_000_video_part_001/00001380.png	23.0	7	case_000
case_000_video_part_001/00001440.png	24.0	7	case_000
case_000_video_part_001/00001500.png	25.0	7	case_000
case_000_video_part_001/00001560.png	26.0	7	case_000
case_000_video_part_001/00001620.png	27.0	7	case_000
case_000_video_part_001/00001680.png	28.0	7	case_000
case_000_video_part_001/00001740.png	29.0	7	case_000
case_000_video_part_001/00001800.png	30.0	7	case_000
case_000_video_part_001/00001860.png	31.0	7	case_000
case_000_video_part_001/00001920.png	32.0	7	case_000
case_000_video_part_001/00001980.png	33.0	7	case_000
case_000_video_part_001/00002040.png	34.0	7	case_000
case_000_video_part_001/00002100.png	35.0	7	case_000
case_000_video_part_001/00002160.png	36.0	7	case_000
case_000_video_part_001/00002220.png	37.0	7	case_000
case_000_video_part_001/00002280.png	38.0	7	case_000
case_000_video_part_001/00002340.png	39.0	7	case_000
case_000_video_part_001/00002400.png	40.0	7	case_000
case_000_video_part_001/00002460.png	41.0	7	case_000
case_000_video_part_001/00002520.png	42.0	7	case_000
case_000_video_part_001/00002580.png	43.0	7	case_000
case_000_video_part_001/00002640.png	44.0	7	case_000
case_000_video_part_001/00002700.png	45.0	7	case_000
case_000_video_part_001/00002760.png	46.0	7	case_000
case_000_video_part_001/00002820.png	47.0	7	case_000
case_000_video_part_001/00002880.png	48.0	7	case_000
case_000_video_part_001/00002940.png	49.0	7	case_000
case_000_video_part_001/00003000.png	50.0	7	case_000
case_000_video_part_001/00003060.png	51.0	7	case_000
case_000_video_part_001/00003120.png	52.0	7	case_000
case_000_video_part_001/00003180.png	53.0	7	case_000
case_000_video_part_001/00003240.png	54.0	7	case_000
case_000_video_part_001/00003300.png	55.0	7	case_000
case_000_video_part_001/00003360.png	56.0	7	case_000
case_000_video_part_001/00003420.png	57.0	7	case_000
case_000_video_part_001/00003480.png	58.0	7	case_000
case_000_video_part_001/00003540.png	59.0	7	case_000
case_000_video_part_001/00003600.png	60.0	7	case_000
case_000_video_part_001/00003660.png	61.0	7	case_000
case_000_video_part_001/00003720.png	62.0	7	case_000
case_000_video_part_001/00003780.png	63.0	7	case_000
case_000_video_part_001/00003840.png	64.0	7	case_000
case_000_video_part_001/00003900.png	65.0	7	case_000
case_000_video_part_001/00003960.png	66.0	7	case_000
case_000_video_part_001/00004020.png	67.0	7	case_000
case_000_video_part_001/00004080.png	68.0	7	case_000
case_000_video_part_001/00004140.png	69.0	7	case_000
case_000_video_part_001/00004200.png	70.0	7	case_000
case_000_video_part_001/00004260.png	71.0	7	case_000
